"text","class"
"ของผม 15 pro max ยังไม่เจอปัญหาความร้อน หรือแบตหมดเร็ว","2"
"ของผมร้อนตอนใช้กล้องกลางแจ้ง ส่วนเล่น ROV ก็ร้อนนะแต่ไม่มาก ไม่ได้ร้อนแปลก ๆ อะ","2"
"เอ๋ นี่ก็ 15 Pro Max ก็ไม่ร้อนนะ","2"
"เห็นบางคนบอกเป็นบางคนบอกไม่เป็น หรือมันเป็นเพราะ silicon lottery","2"
"รักโลกทำไมไม่ทำจากวัสดุรีไซเคิล จะได้ราคาถูกๆ","2"
"เห็นฝรั่งรีวิวลองขูดแล้วไทเทเนียมเป็นรอยง่ายมาก","2"
"อยากให้ไอโฟนมีปากกา มันช่วยให้สะดวกต่อการใช้งานเวลาทำงานมากคะ","2"
"จะไทเทชั้นไหนมาก็ใส่เคสอยู่ดี ถ้าเทียบกับ14แล้วตัว15ก็ไม่ค่อยว้าวเท่าไหร่ ความต่างมันไม่ค่อยเยอะ ต้องข้ามมา3-4รุ่นอ่ะจะต่าง","2"
"เดี๋ยว Action Botton ก็จะไปอยู่ที่ Iphone 16 เหมือน Dinamic Island ที่ตอนนั้นมีแค่ 14 pro/ pro max","2"
"titanium grade 5 เป็นเกรด ธรรมดาครับ ถ้าดูจากข้อมูล Google นะ","2"
"ส่วนตัวรู้สึกไม่ได้ว้าวอะไรกับปุ่ม action เพราะรู้สึกว่าจะใช้อันไหนต้องไปตั้งเอาเองอยู่ดี บางทีตอนนั้นอยากถ่ายรูปแต่ปิดเสียงก็จำเป็นไม่รู้ว่าจะตั้งอะไรเป็นbaseดี","2"
"ถ้าทำ Function mirror หรือ Dex mode แบบ Samsung ลงแอฟแล้วแสดงจอตัวเอง ต่อใน PC กับแม๊กด้วยจะดี มาก","2"
"ชื่นชมในความพยายามรีวิวหาจุดเด่นของ iphone มานำเสนอครับ USB-C หรือ ซูม 5 เท่าอะไรแบบนี้ คือ .. ยินดีที่ apple มาถึงจุดนี้ได้สักทีครับ","2"
"แล้วแต่คนสะดวก ช่อง USB C สำหรับผมคุ้มค่าพอที่จะซื้อ ถ้าต้องเปลี่ยนรุ่น แค่นั้น","2"
"เพราะว่าจอ 120Hz ทางแอปเปิลเรียกว่า ""Pro"" Motion ถ้าเอามาใส่ในรุ่นธรรมดามันก็ไม่ได้น่ะสิ5555 ต้องกักไว้เฉพาะในรุ่นโปรเท่านั้น แต่ก็เห็นด้วยนะว่าอย่างน้อยควรจะให้จอซัก 90Hz มาก็ยังดีเว้นเสียแต่ว่าทางแอปเปิลจะให้จอที่สูงกว่า 120Hz มาในรุ่นโปรแบบนั้นรุ่นธรรมดาก็อาจจะได้จอ 120Hz มาก็ได้","2"
"เป็นเรื่องปรกติค่ะ  บ่นกันทุกคน แต่ก็ซื้อ  ยังไงเราก็ซื้อเหมือนกัน","2"
"ความพึงพอใจของคนมันไม่มีเหตุผลหรอกครับ","2"
"ผมว่าปีหน้ามาแน่ จอ120Hz แต่จริงๆควรใส่มาตั้งแต่ปีนี้เลยนั่นแหละ เพราะยัดสเปค14Proมาแล้วยังไงCPUก็รองรับจอ120Hz","2"
"จริงอย่างที่พูด ถ้าจอเป็นอย่างน้อย 90 hz เนี่ย คนจะย้ายจากแอนดรอยไปก็น่าจะหลาย % อยู่นะ","2"
"ความแรงที่มาพร้อมกับความร้อน ควรพัฒนาระบบระบายความร้อนไปควบคู่กัน นี่เล่น pubg แค่30กว่านาที แสงดร็อปหล่ะ","2"
"iPhone 15มันไม่ได้เปลี่ยนอะไรไปเยอะเลยนะครับแค่เพิ่มหัวชาร์จ type c เพิ่มลูกเล่นนิดๆหน่อยๆ และเพิ่มความแรงของcpu และกล้องดีขึ้นแค่นั้นเองถ้าเครื่องร้องก็เหมือนเครื่องก่อนเเหละครับ","2"
"อยากใช้รุ่นธรรมดา รอจอมันมากกว่า 60Hz ก่อน","2"
"สวยทุกสีเลยแต่กั๊กจริงiphone 15 15plus ควรได้จอ120hzได้แล้วแต่ค่ายแอนดรอยก็กั๊กตัวท็อปบางค่ายยังถ่ายวิดีโอ4Kกล้องหน้าไม่ได้","2"
"ผมคิดว่าคนที่ควรเปลี่ยนมากที่สุดคือคนที่ใช้ iphone 11 ลงไป   มันเปลี่ยนแบบก้าวกระโดดพอสมควรเลย
แต่สำหรับคนใช้ iphone 14 อยู่ คงไม่ได้รู้สึกว้าวอะไร
แต่ถ้าชอบก็เปลี่ยนเลยครับ  ของแบบนี้ไม่ได้มีกฎเกณฑ์หรอก จะซื้อไว้เป็นเครื่องสำรองก็ไม่ผิดอะไร","2"
"ดูๆจาก หลายๆ comment iPhone น่าจะขายไม่ดี เพราะไม่แนะนำให้เปลี่ยนรุ่นกัน ?","2"
